DF,M,N,K,cycles,MACper100,sumC
WS,8,8,16,290,353,-632
WS,8,8,64,408,1003,-32
WS,8,8,256,865,1894,223
WS,8,8,512,1474,2223,-287
WS,8,16,16,306,669,446
WS,8,16,64,465,1761,1403
WS,8,16,256,882,3715,-1594
WS,8,16,512,1534,4272,1466
WS,8,24,16,388,791,-2136
WS,8,24,64,611,2011,-2136
WS,8,24,256,1491,3296,-2136
WS,8,24,512,2641,3722,-861
WS,8,32,16,384,1066,1428
WS,8,32,64,598,2739,-1765
WS,8,32,256,1441,4547,-1913
WS,8,32,512,2571,5098,-383
WS,8,64,16,543,1508,-2041
WS,8,64,64,948,3456,1019
WS,8,64,256,2561,5118,1926
WS,8,64,512,4717,5557,2294
WS,8,128,16,816,2007,1350
WS,8,128,64,1606,4080,-3063
WS,8,128,256,4747,5522,5467
WS,8,128,512,8951,5857,4333
WS,8,256,16,1324,2474,-2183
WS,8,256,64,2894,4529,5881
WS,8,256,256,9131,5741,11758
WS,8,256,512,16382,6400,3251
WS,16,8,16,336,609,-1939
WS,16,8,64,477,1717,-574
WS,16,8,256,1043,3141,191
WS,16,8,512,1806,3628,701
WS,16,16,16,366,1119,1808
WS,16,16,64,507,3231,5674
WS,16,16,256,1073,6107,-3443
WS,16,16,512,1837,7135,1147
WS,16,24,16,480,1280,-3597
WS,16,24,64,727,3380,-4017
WS,16,24,256,1697,5792,-2742
WS,16,24,512,2992,6571,1593
WS,16,32,16,489,1675,1944
WS,16,32,64,727,4507,147
WS,16,32,256,1664,7876,-766
WS,16,32,512,2935,8931,1888
WS,16,64,16,739,2217,-494
WS,16,64,64,1168,5610,-813
WS,16,64,256,2878,9108,5240
WS,16,64,512,5174,10133,-257
WS,16,128,16,1236,2651,-2023
WS,16,128,64,2049,6396,-761
WS,16,128,256,5295,9901,6313
WS,16,128,512,9653,10862,1123
WS,16,256,16,2230,2938,-9321
WS,16,256,64,3811,6878,6811
WS,16,256,256,10135,10346,1533
WS,16,256,512,17231,12170,1465
WS,24,8,16,369,832,-696
WS,24,8,64,562,2186,414
WS,24,8,256,1359,3616,-861
WS,24,8,512,2421,4060,1179
WS,24,16,16,416,1476,-551
WS,24,16,64,610,4028,5196
WS,24,16,256,1405,6996,-3762
WS,24,16,512,2469,7963,1338
WS,24,24,16,586,1572,-5397
WS,24,24,64,936,3938,-3480
WS,24,24,256,2334,6317,-1818
WS,24,24,512,4096,7200,987
WS,24,32,16,604,2034,2326
WS,24,32,64,938,5240,2059
WS,24,32,256,2350,8366,-129
WS,24,32,512,4238,9278,1076
WS,24,64,16,978,2512,-2739
WS,24,64,64,1600,6144,-1324
WS,24,64,256,4165,9440,2060
WS,24,64,512,7591,10360,-1348
WS,24,128,16,1655,2969,-7551
WS,24,128,64,2867,6857,-1131
WS,24,128,256,7739,10161,9351
WS,24,128,512,14259,11030,3644
WS,24,256,16,3034,3240,3605
WS,24,256,64,5398,7284,6578
WS,24,256,256,14895,10559,-4208
WS,24,256,512,25232,12467,-324
WS,32,8,16,405,1011,-157
WS,32,8,64,632,2592,127
WS,32,8,256,1552,4222,-1403
WS,32,8,512,2777,4719,-128
WS,32,16,16,466,1757,-360
WS,32,16,64,697,4701,6152
WS,32,16,256,1617,8105,-4846
WS,32,16,512,2847,9207,1019
WS,32,24,16,677,1815,-6258
WS,32,24,64,1039,4730,-2819
WS,32,24,256,2512,7826,-384
WS,32,24,512,4439,8858,2676
WS,32,32,16,706,2320,2379
WS,32,32,64,1069,6130,4226
WS,32,32,256,2593,10109,-3317
WS,32,32,512,4619,11350,438
WS,32,64,16,1176,2786,-5372
WS,32,64,64,1825,7182,-2512
WS,32,64,256,4509,11627,3079
WS,32,64,512,8069,12995,-839
WS,32,128,16,2087,3140,-11775
WS,32,128,64,3332,7867,6579
WS,32,128,256,8319,12604,12919
WS,32,128,512,14930,14046,-3498
WS,32,256,16,3989,3285,-3880
WS,32,256,64,6344,8264,4918
WS,32,256,256,15997,13109,1039
WS,32,256,512,26067,16090,-3535
WS,64,8,16,585,1400,2010
WS,64,8,64,975,3360,-511
WS,64,8,256,2658,4931,-5101
WS,64,8,512,4870,5382,-1531
WS,64,16,16,712,2301,4627
WS,64,16,64,1100,5957,1301
WS,64,16,256,2784,9416,-6818
WS,64,16,512,4998,10489,-2042
WS,64,24,16,1088,2258,-8351
WS,64,24,64,1714,5735,-4846
WS,64,24,256,4223,9311,-1800
WS,64,24,512,7608,10336,6372
WS,64,32,16,1168,2805,713
WS,64,32,64,1786,7338,6866
WS,64,32,256,4465,11742,-5306
WS,64,32,512,7994,13117,4790
WS,64,64,16,2074,3159,-6506
WS,64,64,64,3172,8264,-4371
WS,64,64,256,7774,13488,6900
WS,64,64,512,14008,14971,27
WS,64,128,16,3823,3428,-23225
WS,64,128,64,5929,8842,9189
WS,64,128,256,14347,14617,19342
WS,64,128,512,25474,16465,-10593
WS,64,256,16,6776,3868,-25555
WS,64,256,64,10056,10427,-1153
WS,64,256,256,24763,16937,-16963
WS,64,256,512,44162,18995,-24842
WS,128,8,16,948,1728,3256
WS,128,8,64,1716,3819,-5357
WS,128,8,256,4866,5387,-4292
WS,128,8,512,9087,5769,2946
WS,128,16,16,1205,2719,9251
WS,128,16,64,1972,6646,4513
WS,128,16,256,5123,10234,-10900
WS,128,16,512,9346,11219,-875
WS,128,24,16,1905,2580,-11231
WS,128,24,64,3087,6368,-5820
WS,128,24,256,7797,10086,6054
WS,128,24,512,14131,11130,3564
WS,128,32,16,2087,3140,8802
WS,128,32,64,3236,8100,14570
WS,128,32,256,8204,12781,-7309
WS,128,32,512,14582,14381,1979
WS,128,64,16,3871,3385,2198
WS,128,64,64,5865,8939,-7436
WS,128,64,256,14327,14637,16143
WS,128,64,512,25485,16457,-3854
WS,128,128,16,7123,3680,-39398
WS,128,128,64,10112,10369,-3971
WS,128,128,256,22493,18647,29320
WS,128,128,512,41180,20370,-15350
WS,128,256,16,13033,4022,-31390
WS,128,256,64,16766,12508,13326
WS,128,256,256,40203,20865,-39864
WS,128,256,512,75960,22086,-28335
OS,8,8,16,531,192,-632
OS,8,8,64,666,615,-32
OS,8,8,256,1128,1452,223
OS,8,8,512,1723,1901,-287
OS,8,16,16,535,382,446
OS,8,16,64,663,1235,1403
