HeaderLine,ResultLine
"== Offloading threshold sweep (M=4, N=4, row-major, blocked-CPU) ==","[K= 1] CPU:       141 cyc | ACC(OS):      1908 cyc | speedup=  0.07x "
"== Offloading threshold sweep (M=4, N=4, row-major, blocked-CPU) ==","[K= 2] CPU:        92 cyc | ACC(OS):      1902 cyc | speedup=  0.04x "
"== Offloading threshold sweep (M=4, N=4, row-major, blocked-CPU) ==","[K= 3] CPU:       140 cyc | ACC(OS):      1900 cyc | speedup=  0.07x "
"== Offloading threshold sweep (M=4, N=4, row-major, blocked-CPU) ==","[K= 4] CPU:        90 cyc | ACC(OS):      1902 cyc | speedup=  0.04x "
"== Offloading threshold sweep (M=4, N=4, row-major, blocked-CPU) ==","[K= 5] CPU:      1135 cyc | ACC(OS):      1995 cyc | speedup=  0.56x "
"== Offloading threshold sweep (M=4, N=4, row-major, blocked-CPU) ==","[K= 6] CPU:      1129 cyc | ACC(OS):      1948 cyc | speedup=  0.57x "
"== Offloading threshold sweep (M=4, N=4, row-major, blocked-CPU) ==","[K= 7] CPU:      1216 cyc | ACC(OS):      1951 cyc | speedup=  0.62x "
"== Offloading threshold sweep (M=4, N=4, row-major, blocked-CPU) ==","[K= 8] CPU:      1464 cyc | ACC(OS):      1936 cyc | speedup=  0.75x "
"== Offloading threshold sweep (M=6, N=6, row-major, blocked-CPU) ==","[K= 1] CPU:      1413 cyc | ACC(OS):      1985 cyc | speedup=  0.71x "
"== Offloading threshold sweep (M=6, N=6, row-major, blocked-CPU) ==","[K= 2] CPU:       859 cyc | ACC(OS):      1944 cyc | speedup=  0.44x "
"== Offloading threshold sweep (M=6, N=6, row-major, blocked-CPU) ==","[K= 3] CPU:       730 cyc | ACC(OS):      1981 cyc | speedup=  0.36x "
"== Offloading threshold sweep (M=6, N=6, row-major, blocked-CPU) ==","[K= 4] CPU:       967 cyc | ACC(OS):      1951 cyc | speedup=  0.49x "
"== Offloading threshold sweep (M=6, N=6, row-major, blocked-CPU) ==","[K= 5] CPU:      1141 cyc | ACC(OS):      1968 cyc | speedup=  0.57x "
"== Offloading threshold sweep (M=6, N=6, row-major, blocked-CPU) ==","[K= 6] CPU:      1560 cyc | ACC(OS):      1972 cyc | speedup=  0.79x "
"== Offloading threshold sweep (M=6, N=6, row-major, blocked-CPU) ==","[K= 7] CPU:      1772 cyc | ACC(OS):      1890 cyc | speedup=  0.93x "
"== Offloading threshold sweep (M=6, N=6, row-major, blocked-CPU) ==","[K= 8] CPU:      2122 cyc | ACC(OS):      1887 cyc | speedup=  1.12x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=8, row-major, blocked-CPU) ==","[K= 1] CPU:       883 cyc | ACC(OS):      1941 cyc | speedup=  0.45x "
"== Offloading threshold sweep (M=8, N=8, row-major, blocked-CPU) ==","[K= 2] CPU:      1099 cyc | ACC(OS):      1957 cyc | speedup=  0.56x "
"== Offloading threshold sweep (M=8, N=8, row-major, blocked-CPU) ==","[K= 3] CPU:      1441 cyc | ACC(OS):      1936 cyc | speedup=  0.74x "
"== Offloading threshold sweep (M=8, N=8, row-major, blocked-CPU) ==","[K= 4] CPU:      1471 cyc | ACC(OS):      1960 cyc | speedup=  0.75x "
"== Offloading threshold sweep (M=8, N=8, row-major, blocked-CPU) ==","[K= 5] CPU:      2427 cyc | ACC(OS):      1883 cyc | speedup=  1.28x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=8, row-major, blocked-CPU) ==","[K= 6] CPU:      2771 cyc | ACC(OS):      1890 cyc | speedup=  1.46x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=8, row-major, blocked-CPU) ==","[K= 7] CPU:      3081 cyc | ACC(OS):      1888 cyc | speedup=  1.63x <- OFFLOAD"
"== Offloading threshold sweep (M=8, N=8, row-major, blocked-CPU) ==","[K= 8] CPU:      3617 cyc | ACC(OS):      1919 cyc | speedup=  1.88x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=10, row-major, blocked-CPU) ==","[K= 1] CPU:      2476 cyc | ACC(OS):      1937 cyc | speedup=  1.27x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=10, row-major, blocked-CPU) ==","[K= 2] CPU:      3526 cyc | ACC(OS):      1985 cyc | speedup=  1.77x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=10, row-major, blocked-CPU) ==","[K= 3] CPU:      3400 cyc | ACC(OS):      1985 cyc | speedup=  1.71x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=10, row-major, blocked-CPU) ==","[K= 4] CPU:      4555 cyc | ACC(OS):      1985 cyc | speedup=  2.29x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=10, row-major, blocked-CPU) ==","[K= 5] CPU:      6190 cyc | ACC(OS):      1906 cyc | speedup=  3.24x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=10, row-major, blocked-CPU) ==","[K= 6] CPU:      5267 cyc | ACC(OS):      1935 cyc | speedup=  2.72x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=10, row-major, blocked-CPU) ==","[K= 7] CPU:      6987 cyc | ACC(OS):      1960 cyc | speedup=  3.56x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=10, row-major, blocked-CPU) ==","[K= 8] CPU:      6998 cyc | ACC(OS):      2015 cyc | speedup=  3.47x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 1] CPU:      2560 cyc | ACC(OS):      1932 cyc | speedup=  1.32x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 2] CPU:      4046 cyc | ACC(OS):      1967 cyc | speedup=  2.05x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 3] CPU:      4172 cyc | ACC(OS):      2016 cyc | speedup=  2.06x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 4] CPU:      4858 cyc | ACC(OS):      1943 cyc | speedup=  2.50x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 5] CPU:      6462 cyc | ACC(OS):      1973 cyc | speedup=  3.27x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 6] CPU:      6105 cyc | ACC(OS):      1918 cyc | speedup=  3.18x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 7] CPU:      7421 cyc | ACC(OS):      1970 cyc | speedup=  3.76x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=12, row-major, blocked-CPU) ==","[K= 8] CPU:      8038 cyc | ACC(OS):      1928 cyc | speedup=  4.16x <- OFFLOAD"
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 1] CPU:       573 cyc | ACC(OS):      1931 cyc | speedup=  0.29x "
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 2] CPU:       516 cyc | ACC(OS):      1880 cyc | speedup=  0.27x "
"== Offloading threshold sweep (M=4, N=8, row-major, blocked-CPU) ==","[K= 3] CPU:      1017 cyc | ACC(OS):      1946 cyc | speedup=  0.52x "
