M,N,K,CPU_cyc,ACC_flow,ACC_cyc,Speedup_x,Offload
4,4,1,141,OS,1908,0.07,0
4,4,2,92,OS,1902,0.04,0
4,4,3,140,OS,1900,0.07,0
4,4,4,90,OS,1902,0.04,0
4,4,5,1135,OS,1995,0.56,0
4,4,6,1129,OS,1948,0.57,0
4,4,7,1216,OS,1951,0.62,0
4,4,8,1464,OS,1936,0.75,0
6,6,1,1413,OS,1985,0.71,0
6,6,2,859,OS,1944,0.44,0
6,6,3,730,OS,1981,0.36,0
6,6,4,967,OS,1951,0.49,0
6,6,5,1141,OS,1968,0.57,0
6,6,6,1560,OS,1972,0.79,0
6,6,7,1772,OS,1890,0.93,0
6,6,8,2122,OS,1887,1.12,1
8,8,1,883,OS,1941,0.45,0
8,8,2,1099,OS,1957,0.56,0
8,8,3,1441,OS,1936,0.74,0
8,8,4,1471,OS,1960,0.75,0
8,8,5,2427,OS,1883,1.28,1
8,8,6,2771,OS,1890,1.46,1
8,8,7,3081,OS,1888,1.63,1
8,8,8,3617,OS,1919,1.88,1
10,10,1,2476,OS,1937,1.27,1
10,10,2,3526,OS,1985,1.77,1
10,10,3,3400,OS,1985,1.71,1
10,10,4,4555,OS,1985,2.29,1
10,10,5,6190,OS,1906,3.24,1
10,10,6,5267,OS,1935,2.72,1
10,10,7,6987,OS,1960,3.56,1
10,10,8,6998,OS,2015,3.47,1
12,12,1,2560,OS,1932,1.32,1
12,12,2,4046,OS,1967,2.05,1
12,12,3,4172,OS,2016,2.06,1
12,12,4,4858,OS,1943,2.50,1
12,12,5,6462,OS,1973,3.27,1
12,12,6,6105,OS,1918,3.18,1
12,12,7,7421,OS,1970,3.76,1
12,12,8,8038,OS,1928,4.16,1
4,8,1,573,OS,1931,0.29,0
4,8,2,516,OS,1880,0.27,0
4,8,3,1017,OS,1946,0.52,0
4,8,4,1180,OS,1947,0.60,0
4,8,5,1513,OS,1953,0.77,0
4,8,6,1768,OS,1936,0.91,0
4,8,7,1997,OS,1887,1.05,1
4,8,8,2248,OS,1880,1.19,1
4,12,1,1102,OS,1952,0.56,0
4,12,2,2007,OS,1917,1.04,1
4,12,3,1629,OS,1974,0.82,0
4,12,4,1910,OS,1889,1.01,1
4,12,5,3011,OS,1904,1.58,1
4,12,6,2792,OS,1886,1.48,1
4,12,7,3107,OS,1910,1.62,1
4,12,8,2898,OS,1888,1.53,1
6,10,1,1684,OS,1926,0.87,0
6,10,2,1913,OS,1896,1.00,1
6,10,3,2106,OS,1892,1.11,1
6,10,4,2515,OS,1908,1.31,1
6,10,5,3613,OS,1940,1.86,1
6,10,6,2849,OS,1902,1.49,1
6,10,7,4113,OS,1940,2.12,1
6,10,8,3537,OS,1961,1.80,1
8,12,1,2545,OS,1926,1.32,1
8,12,2,2935,OS,1923,1.52,1
8,12,3,2721,OS,1921,1.41,1
8,12,4,3232,OS,1922,1.68,1
8,12,5,4625,OS,1908,2.42,1
8,12,6,4274,OS,1991,2.14,1
8,12,7,5228,OS,1922,2.72,1
8,12,8,4972,OS,1926,2.58,1
8,4,1,613,OS,1909,0.32,0
8,4,2,621,OS,1882,0.32,0
8,4,3,893,OS,1955,0.45,0
8,4,4,793,OS,1944,0.40,0
8,4,5,990,OS,1931,0.51,0
8,4,6,1176,OS,1948,0.60,0
8,4,7,1200,OS,1989,0.60,0
8,4,8,1727,OS,1882,0.91,0
12,4,1,968,OS,1962,0.49,0
12,4,2,1151,OS,1951,0.58,0
12,4,3,1158,OS,1947,0.59,0
12,4,4,1267,OS,1963,0.64,0
12,4,5,1463,OS,1894,0.77,0
12,4,6,1487,OS,1909,0.77,0
12,4,7,1563,OS,1926,0.81,0
12,4,8,2588,OS,1889,1.37,1
10,6,1,1021,OS,1951,0.52,0
10,6,2,1231,OS,1963,0.62,0
10,6,3,1148,OS,1957,0.58,0
10,6,4,1400,OS,1905,0.73,0
10,6,5,1649,OS,1899,0.86,0
10,6,6,2526,OS,1911,1.32,1
10,6,7,2830,OS,1914,1.47,1
10,6,8,3225,OS,1932,1.66,1
12,8,1,1468,OS,1973,0.74,0
12,8,2,1735,OS,1912,0.90,0
12,8,3,1695,OS,1899,0.89,0
12,8,4,1826,OS,1906,0.95,0
12,8,5,3349,OS,1973,1.69,1
12,8,6,4033,OS,1937,2.08,1
12,8,7,4192,OS,1953,2.14,1
12,8,8,4713,OS,1907,2.47,1
